event_id,site_id,start_date,end_date,rain_24h_mm,rain_station,rain_event_total_mm,rain_source_url,rain_tier,affected_area_km2,area_method,area_source_url,area_tier,people_affected,people_source_url,deaths,deaths_source_url,driver,notes,site_name,country,iso3,bbox_w,bbox_s,bbox_e,bbox_n,mechanism,coastal,catchment_area_km2,catchment_area_source_url,population,population_source_url,mean_elevation_m,elevation_source_url,selection_reason,selection_source_url,hotspot_subareas,event_year,log10_rain_24h_mm,log10_rain_event_total_mm,rain_burst_ratio,log10_catchment_area_km2,log10_population,log10_population_density,log10_affected_area_km2,area_is_measured,driver_is_rainfall,has_target,has_rainfall,admissible
bgd_gbm_2004,bgd_gbm,2004-07-01,2004-09-30,,,,,,,,,,36000000.0,https://reliefweb.int/report/bangladesh/bangladesh-floods-appeal-no-152004-final-report,,,rainfall,"Nationwide monsoon flood; death toll reported inconsistently across sources as ""over 700"" to ""nearly 800"" — left blank, see Gaps. ReliefWeb source page returned HTTP 403 to automated fetch; figure taken from search-engine indexing of that exact page, not independently read in full.",Ganges-Brahmaputra delta,Bangladesh,BGD,88.0,21.5,92.7,26.0,"monsoon riverine flooding off three Himalayan rivers, with haor flash floods in the northeast",1,105000.0,https://en.wikipedia.org/wiki/Ganges_Delta,173600000,https://en.wikipedia.org/wiki/Ganges_Delta,,,"One of the lowest and most densely populated large landmasses on earth, sitting where three Himalayan rivers meet and downstream of Cherrapunji",https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/sunamganj-floods-have-surpassed-all-previous-records-3049551,Sunamganj Sadar; Tahirpur; Bishwambarpur; Chhatak; Doarabazar in the Sylhet haor basin. Sirajganj Sadar; Kazipur; Chauhali and the Jamuna char settlements,2004,,,,5.021189299069938,8.239549720840474,3.218360421770535,,True,True,False,False,False
bgd_gbm_2007,bgd_gbm,2007-07-03,2007-08-15,,,,,,,,,,7500000.0,https://en.wikipedia.org/wiki/2007_South_Asian_floods,405.0,https://en.wikipedia.org/wiki/2007_South_Asian_floods,rainfall,"people_affected figure is ""fled their homes"" count reported as of 7 Aug 2007 (displacement, not a formal total-affected count); deaths were 405 confirmed as of 13 Aug, ""nearly 500"" by 15 Aug per the same source. All six divisions affected; Sirajganj and Sylhet divisions named among the worst-hit.",Ganges-Brahmaputra delta,Bangladesh,BGD,88.0,21.5,92.7,26.0,"monsoon riverine flooding off three Himalayan rivers, with haor flash floods in the northeast",1,105000.0,https://en.wikipedia.org/wiki/Ganges_Delta,173600000,https://en.wikipedia.org/wiki/Ganges_Delta,,,"One of the lowest and most densely populated large landmasses on earth, sitting where three Himalayan rivers meet and downstream of Cherrapunji",https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/sunamganj-floods-have-surpassed-all-previous-records-3049551,Sunamganj Sadar; Tahirpur; Bishwambarpur; Chhatak; Doarabazar in the Sylhet haor basin. Sirajganj Sadar; Kazipur; Chauhali and the Jamuna char settlements,2007,,,,5.021189299069938,8.239549720840474,3.218360421770535,,True,True,False,False,False
bgd_gbm_2017,bgd_gbm,2017-08-12,2017-08-31,,,,,,,,,,6900000.0,https://hess.copernicus.org/articles/23/1409/2019/,114.0,https://hess.copernicus.org/articles/23/1409/2019/,rainfall,"Peer-reviewed attribution study (HESS/Copernicus); also reports 297,250 people displaced and 593,250 houses destroyed in the August episode. A separate, earlier April 2017 flash-flood episode (Sylhet, Moulvibazar, Sunamganj, Habiganj, Netrokona, Kishoreganj; ~850,000 households) is not given its own row — figures for it could not be confirmed by direct source fetch (ReliefWeb GIEWS page returned HTTP 403).",Ganges-Brahmaputra delta,Bangladesh,BGD,88.0,21.5,92.7,26.0,"monsoon riverine flooding off three Himalayan rivers, with haor flash floods in the northeast",1,105000.0,https://en.wikipedia.org/wiki/Ganges_Delta,173600000,https://en.wikipedia.org/wiki/Ganges_Delta,,,"One of the lowest and most densely populated large landmasses on earth, sitting where three Himalayan rivers meet and downstream of Cherrapunji",https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/sunamganj-floods-have-surpassed-all-previous-records-3049551,Sunamganj Sadar; Tahirpur; Bishwambarpur; Chhatak; Doarabazar in the Sylhet haor basin. Sirajganj Sadar; Kazipur; Chauhali and the Jamuna char settlements,2017,,,,5.021189299069938,8.239549720840474,3.218360421770535,,True,True,False,False,False
bgd_gbm_2022_sylhet,bgd_gbm,2022-05-17,2022-06-24,185.0,Sunamganj (BMD station),,https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/sunamganj-floods-have-surpassed-all-previous-records-3049551,V3,420.0,"UNOSAT satellite-derived water extent, Sylhet & Sunamganj districts only, as of 25 May 2022 (pre-monsoon early stage of the event; analyzed area ~730 km2); the later mid-June flash-flood peak (185mm/24h at Sunamganj, 42 deaths, 84–94% of Sylhet/Sunamganj districts reported submerged) was NOT separately satellite-quantified in a source I could verify, so this km2 figure is a lower bound, not the peak extent",https://data.humdata.org/dataset/water-extent-over-sylhet-and-sunamganj-districts-sylhet-division-bangladesh-as-of-25-may-2,V1,7200000.0,https://www.thedailystar.net/tags/sylhet-flood-2022,42.0,https://www.thedailystar.net/tags/sylhet-flood-2022,rainfall,"Upstream Cherrapunji (Meghalaya, India) recorded 674mm/24h in the same event, driving the Surma river at Sunamganj to 120cm above danger level, higher than the 2020 major flood (70cm above danger mark). UNOSAT/HDX and ReliefWeb URLs returned HTTP 403 to automated fetch; area figures taken from search-engine indexing of those exact, dated pages, not independently read in full.",Ganges-Brahmaputra delta,Bangladesh,BGD,88.0,21.5,92.7,26.0,"monsoon riverine flooding off three Himalayan rivers, with haor flash floods in the northeast",1,105000.0,https://en.wikipedia.org/wiki/Ganges_Delta,173600000,https://en.wikipedia.org/wiki/Ganges_Delta,,,"One of the lowest and most densely populated large landmasses on earth, sitting where three Himalayan rivers meet and downstream of Cherrapunji",https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/sunamganj-floods-have-surpassed-all-previous-records-3049551,Sunamganj Sadar; Tahirpur; Bishwambarpur; Chhatak; Doarabazar in the Sylhet haor basin. Sirajganj Sadar; Kazipur; Chauhali and the Jamuna char settlements,2022,2.2671717284030137,,,5.021189299069938,8.239549720840474,3.218360421770535,2.6232492903979003,True,True,True,True,True
bgd_gbm_2024_feni,bgd_gbm,2024-08-21,2024-08-30,,,1646.0,https://www.tbsnews.net/features/panorama/august-2024-floods-bangladesh-and-tripura-nexus-erratic-rainfall-vanishing,V3,8100.0,"UNOSAT/Copernicus satellite-detected flood water extent, national analysis area ~140,000 km2, product ""Satellite detected water extents between 28 August & 4 September 2024""",https://geo.btaa.org/catalog/007de930-02e7-4b32-8a6c-774c86eb2c8f,V1,5800000.0,https://reliefweb.int/report/bangladesh/bangladesh-eastern-flash-flood-situation-report-no-01-25-august-2024,71.0,https://en.wikipedia.org/wiki/August_2024_Bangladesh_floods,rainfall,"rain_event_total_mm of 1646mm is Noakhali's August 2024 monthly total (highest in 30 years, prior high 897mm); this is an event/monthly total, not a 24h peak, so left out of rain_24h_mm per the no-conversion rule. Feni itself set an August record beating the prior 858mm (1998); exact Feni mm total not found. Trigger cited as heavy rainfall plus a reservoir release from Tripura, India (Dumbur dam), reported by multiple outlets but not confirmed by an Indian government source in this session. Affected-area km2 is national, not Sindh/Bangladesh-delta-only — see notes.",Ganges-Brahmaputra delta,Bangladesh,BGD,88.0,21.5,92.7,26.0,"monsoon riverine flooding off three Himalayan rivers, with haor flash floods in the northeast",1,105000.0,https://en.wikipedia.org/wiki/Ganges_Delta,173600000,https://en.wikipedia.org/wiki/Ganges_Delta,,,"One of the lowest and most densely populated large landmasses on earth, sitting where three Himalayan rivers meet and downstream of Cherrapunji",https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/sunamganj-floods-have-surpassed-all-previous-records-3049551,Sunamganj Sadar; Tahirpur; Bishwambarpur; Chhatak; Doarabazar in the Sylhet haor basin. Sirajganj Sadar; Kazipur; Chauhali and the Jamuna char settlements,2024,,3.216429830876251,,5.021189299069938,8.239549720840474,3.218360421770535,3.90848501887865,True,True,True,False,False
pak_sindh_2010,pak_sindh,2010-07-26,2010-09-30,,,,,,37280.0,"satellite/remote-sensing-derived flood-inundation extent, all of Pakistan (not Sindh-specific)",https://earthobservatory.nasa.gov/images/50018/flood-extent-in-pakistan,V1,20000000.0,https://en.wikipedia.org/wiki/2010_Pakistan_floods,1985.0,https://en.wikipedia.org/wiki/2010_Pakistan_floods,rainfall,"All numeric figures here are NATIONWIDE, not Sindh-specific — no Sindh-only figures for this event were found and verified. Peak 24h rainfall records (415mm Risalpur, 394mm Islamabad, 333mm Peshawar) were all in upstream Khyber Pakhtunkhwa/Punjab, not Sindh, so left out of the rain columns; Sindh flooding here resulted from downstream river discharge and an embankment breach that fed Manchhar Lake, peaking weeks after the upstream rain.","Lower Indus, Sindh",Pakistan,PAK,66.5,23.5,71.5,28.5,"monsoon riverine flooding of the Indus mainstem, ponding on a flat irrigated plain with nowhere to drain",1,140914.0,https://en.wikipedia.org/wiki/Sindh,55696147,https://en.wikipedia.org/wiki/Sindh,,,The 2010 and 2022 floods each inundated tens of thousands of square kilometres of the same province inside twelve years,https://en.wikipedia.org/wiki/2022_Pakistan_floods,Dadu; Johi; Mehar; Khairpur Nathan Shah; Qambar Shahdadkot; Larkana district,2010,,,,5.148954143007883,7.745825152184191,2.5968710091763083,4.571475903681944,True,True,True,False,False
pak_sindh_2011,pak_sindh,2011-08-11,2011-09-14,,Mithi,1290.0,https://en.wikipedia.org/wiki/2011_Sindh_floods,V3,12988.0,"sum of per-district figures reported as ""area affected (km2)"" for the six worst-hit of 23 inundated Sindh districts (Badin 3820.39, Sanghar 2494.18, Dadu 1887.57, Mirpur Khas 1836.26, Shahdadkot 1597.50, Jacobabad 1352.32 km2), said to represent 61% of total inundated area; source does not make explicit whether these are inundated extents or full administrative district areas",https://en.wikipedia.org/wiki/2011_Sindh_floods,V3,8900000.0,https://en.wikipedia.org/wiki/2011_Sindh_floods,434.0,https://en.wikipedia.org/wiki/2011_Sindh_floods,rainfall,"Source (Wikipedia, citing Pakistan Meteorological Dept/Govt of Pakistan/Oxfam/UNICEF/FAO) itself reports conflicting people_affected figures across its own sections: infobox 8.9M / 8,920,631, body text 5.3M — I used the two converging ~8.9M figures. rain_event_total_mm of 1290mm at Mithi is the combined Aug+Sep total, a record; other stations: Mirpur Khas 866.1mm, Nawabshah 628.4mm, Badin 615.3mm (all Aug+Sep totals, all reported record-breaking).","Lower Indus, Sindh",Pakistan,PAK,66.5,23.5,71.5,28.5,"monsoon riverine flooding of the Indus mainstem, ponding on a flat irrigated plain with nowhere to drain",1,140914.0,https://en.wikipedia.org/wiki/Sindh,55696147,https://en.wikipedia.org/wiki/Sindh,,,The 2010 and 2022 floods each inundated tens of thousands of square kilometres of the same province inside twelve years,https://en.wikipedia.org/wiki/2022_Pakistan_floods,Dadu; Johi; Mehar; Khairpur Nathan Shah; Qambar Shahdadkot; Larkana district,2011,,3.110589710299249,,5.148954143007883,7.745825152184191,2.5968710091763083,4.113542279953964,False,True,True,False,False
pak_sindh_2022,pak_sindh,2022-06-14,2022-10-31,,,,,,25000.0,"Sentinel-1 satellite-derived flooded-cropland/land assessment specific to Sindh province, ""over 18% of Sindh's total area"" (2.5 million hectares)",https://reliefweb.int/report/pakistan/2022-pakistan-floods-assessment-crop-losses-sindh-province-using-satellite-data,V1,33000000.0,https://en.wikipedia.org/wiki/2022_Pakistan_floods,799.0,https://en.wikipedia.org/wiki/2022_Pakistan_floods,rainfall,"Deaths (799, incl. 338 children) and people_affected (33,000,000) are national Pakistan totals per Wikipedia/NDMA, not Sindh-only; Sindh-specific toll not separately confirmed. Sindh-specific displacement figure of ""10 million"" and farmland impact of ""6,200 km2 (1,540,000 acres)"" also reported (ReliefWeb sitrep, 26 Aug 2022) but not independently verified by direct fetch (403). A separate national UNOSAT/VIIRS estimate put all-Pakistan flooded area at ~75,000–85,000 km2 (~9% of the country) for Jul 1–Aug 31, 2022 — not Sindh-specific, so not used in the table cell. No sourced 24h or event-total rainfall figure (mm, named station) for Sindh was found; only a qualitative ""784% above August average"" statement from Pakistan's climate minister.","Lower Indus, Sindh",Pakistan,PAK,66.5,23.5,71.5,28.5,"monsoon riverine flooding of the Indus mainstem, ponding on a flat irrigated plain with nowhere to drain",1,140914.0,https://en.wikipedia.org/wiki/Sindh,55696147,https://en.wikipedia.org/wiki/Sindh,,,The 2010 and 2022 floods each inundated tens of thousands of square kilometres of the same province inside twelve years,https://en.wikipedia.org/wiki/2022_Pakistan_floods,Dadu; Johi; Mehar; Khairpur Nathan Shah; Qambar Shahdadkot; Larkana district,2022,,,,5.148954143007883,7.745825152184191,2.5968710091763083,4.3979400086720375,True,True,True,False,False
chn_yangtze_2016,chn_yangtze,2016-07-01,2016-07-06,,Wuhan (citywide),570.0,https://en.wikipedia.org/wiki/2016_China_floods,V3,,,,,,,27.0,https://en.wikipedia.org/wiki/2016_China_floods,rainfall,"570mm is Wuhan's citywide first-week-of-July total (surpassing its 1991 record), an event total, not a 24h peak — left out of rain_24h_mm. Deaths (27) and evacuations (400,000) are Hubei-province totals per Wikipedia, not Wuhan-city-only; no affected-area km2 figure found for this event specifically.","Middle Yangtze, Wuhan and Poyang",China,CHN,113.5,28.0,117.0,31.5,monsoon runoff concentrated through the Yangtze mainstem and backed up into its floodplain lakes,0,8494.41,https://en.wikipedia.org/wiki/Wuhan,13739000,https://en.wikipedia.org/wiki/Wuhan,,,"Poyang and Dongting act as the Yangtze's overflow storage, and the cities on their shores sit below the flood stage the river reaches in a heavy monsoon year",https://en.wikipedia.org/wiki/2020_China_floods,Wuhan riverfront; Poyang Lake shoreline counties in Jiangxi; Dongting Lake dike districts in Hunan,2016,,2.7558748556724915,,3.9291332192683033,7.13795512353236,3.2088219042640573,,True,True,False,False,False
chn_yangtze_2020,chn_yangtze,2020-06-01,2020-08-22,,,,,,,,,,9000000.0,https://en.wikipedia.org/wiki/2020_China_floods,14.0,https://en.wikipedia.org/wiki/2020_China_floods,rainfall,"Deaths (14, 5 missing as of 13 Jul) and 9 million affected are Wuhan/Hubei-area figures; separately, Dongzhi County (Jiangxi, Poyang Lake basin) reported ~260,000 people affected, about half the county's population. Peer-reviewed remote-sensing papers on 2020 Poyang flood extent (Sentinel-1/MODIS) were found in search results but could not be fetched in full (403/paywall), so no km2 affected-area figure is tabled for this event — see Gaps.","Middle Yangtze, Wuhan and Poyang",China,CHN,113.5,28.0,117.0,31.5,monsoon runoff concentrated through the Yangtze mainstem and backed up into its floodplain lakes,0,8494.41,https://en.wikipedia.org/wiki/Wuhan,13739000,https://en.wikipedia.org/wiki/Wuhan,,,"Poyang and Dongting act as the Yangtze's overflow storage, and the cities on their shores sit below the flood stage the river reaches in a heavy monsoon year",https://en.wikipedia.org/wiki/2020_China_floods,Wuhan riverfront; Poyang Lake shoreline counties in Jiangxi; Dongting Lake dike districts in Hunan,2020,,,,3.9291332192683033,7.13795512353236,3.2088219042640573,,True,True,False,False,False
