site_id,site_name,country,iso3,bbox_w,bbox_s,bbox_e,bbox_n,mechanism,coastal,catchment_area_km2,catchment_area_source_url,population,population_source_url,mean_elevation_m,elevation_source_url,selection_reason,selection_source_url,hotspot_subareas
ind_mumbai,Mumbai,India,IND,72.775,18.89,72.98,19.27,"urban pluvial flooding locked in by high tide, which stops the drains and the Mithi discharging",1,603.4,https://en.wikipedia.org/wiki/Mumbai,12442373,https://en.wikipedia.org/wiki/Mumbai,14,https://en.wikipedia.org/wiki/Mumbai,"Drainage sized for about 25 mm/hr against monsoon bursts many times that, in a city of twelve million",https://questionofcities.org/mithi-more-than-a-rainwater-drain-for-mumbai-but-tell-that-to-the-authorities/,Hindmata (Dadar/Parel); Kurla; Sion; Matunga; King's Circle; Andheri and Vile Parle subways; Chembur; Vikhroli
idn_jakarta,Jakarta,Indonesia,IDN,106.68,-6.37,106.97,-6.08,urban pluvial flooding on a coastal plain that is sinking faster than the drainage can be rebuilt,1,662,https://en.wikipedia.org/wiki/Jakarta,11010514,https://en.wikipedia.org/wiki/Jakarta,8,https://en.wikipedia.org/wiki/Jakarta,"Around 240 square kilometres of the city already sits below sea level and subsidence reaches 17.5 cm a year, so gravity drainage into the Ciliwung keeps failing",https://www.sciencedirect.com/science/article/pii/S2590252023000053,"Kampung Melayu; Kampung Pulo; Bidara Cina; Cipinang Melayu, all riverside kampungs on the Ciliwung"
vnm_mekong,Mekong delta,Vietnam,VNM,104.5,8.5,106.8,11.0,seasonal riverine flood pulse spreading across the flattest terrain in Vietnam,1,40519,https://en.wikipedia.org/wiki/Mekong_Delta,19000000,https://en.wikipedia.org/wiki/Mekong_Delta,,,"Nineteen million people on a delta at sea level, though the flood pulse itself is shrinking as upstream dams cut reverse flow into the Tonle Sap by 56 percent",https://hess.copernicus.org/articles/26/609/2022/,An Giang; Dong Thap; Long An provinces. No neighbourhood-level list published for this rural deltaic system
nga_lokoja,"Niger-Benue confluence, Lokoja",Nigeria,NGA,6.6,7.65,6.95,7.95,"riverine flooding at the confluence of Nigeria's two largest rivers, compounded by upstream dam releases",0,,,791000,https://www.macrotrends.net/global-metrics/cities/206383/lokoja/population,,,"Downstream of Kainji and Jebba on the Niger and of Cameroon's Lagdo dam on the Benue, with no Nigerian counterpart reservoir to absorb the release",https://www.environewsnigeria.com/30-years-of-nigerias-failure-to-tackle-cameroon-dam-flooding/,Lokoja town and the immediate confluence floodplain in Kogi State
usa_houston,"Houston, Harris County",United States,USA,-95.82,29.49,-94.9,30.17,"pluvial and bayou flooding from stalled tropical systems over a flat, heavily paved coastal plain",1,4603,"https://en.wikipedia.org/wiki/Harris_County,_Texas",5009302,"https://en.wikipedia.org/wiki/Harris_County,_Texas",,,Five federally declared flood disasters inside two decades on terrain with almost no drainage gradient,https://en.wikipedia.org/wiki/Hurricane_Harvey,Buffalo Bayou; Brays Bayou; White Oak Bayou corridors across Harris County
deu_ahr,Ahr valley and Rhine-Meuse,Germany and Belgium,DEU,5.6,49.9,8.0,51.05,"flash flooding as slow-moving convective rain funnels down steep, narrow valley catchments",0,900,https://nhess.copernicus.org/articles/25/2007/2025/,250200,https://en.wikipedia.org/wiki/Ahrweiler_(electoral_district),,,"Copernicus's own historical flood record for Ahrweiler shows the valley floods repeatedly, and the 2021 event gave residents minutes rather than hours",https://nhess.copernicus.org/articles/25/2007/2025/,"Ahr valley (Ahrweiler, Bad Neuenahr, Schuld); Erft valley; Vesdre valley around Liege and Pepinster"
bra_rgs,"Rio Grande do Sul, Porto Alegre",Brazil,BRA,-52.2,-30.35,-50.8,-29.3,riverine flooding where four rivers converge into Lake Guaiba and back water up into the city,0,2919,https://www.openwaterpedia.com/wiki/Gua%C3%ADba,4240000,https://www.macrotrends.net/global-metrics/cities/20264/porto-alegre/population,,,"Heavy rain anywhere across the Jacui, Taquari, Cai and Sinos basins converges on one city outlet, and attribution work ties the 2023 and 2024 extremes to El Nino plus warming",https://en.wikipedia.org/wiki/2024_Rio_Grande_do_Sul_floods,Porto Alegre city centre and Sarandi; Canoas; the Taquari valley towns of Lajeado and Muçum
are_dubai,Dubai and Sharjah,United Arab Emirates,ARE,54.85,24.75,55.65,25.65,"arid urban pluvial flooding where rare, very intense convective storms exceed what the drainage was ever sized for",1,4110,https://en.wikipedia.org/wiki/Dubai,3790000,https://www.globalmediainsight.com/blog/dubai-population-statistics/,16,https://en.wikipedia.org/wiki/Dubai,"The April 2024 storm was the heaviest since UAE records began in 1949, and the response was a 30 billion dirham drainage programme, which is what a structural shortfall looks like",https://en.wikipedia.org/wiki/2024_United_Arab_Emirates_floods,Al Quoz and the D65 interchange; Nad Al Sheba; Sharjah city along King Abdulaziz Street
are_fujairah,Fujairah and the east coast,United Arab Emirates,ARE,56.05,24.95,56.45,25.65,wadi flash flooding off the Hajar mountains into a narrow coastal strip with no floodplain,1,1580,https://u.ae/en/about-the-uae/the-seven-emirates/fujairah,316790,https://www.wam.ae/en/article/hszrh5ch-population-the-emirate-fujairah-reached-316790,,,"Orographic lift over the Hajar concentrates the heaviest rainfall in the country here, and seven wadis converge on Fujairah city alone",https://www.mdpi.com/2073-4441/15/15/2802,"Masafi; Fujairah port and city; Kalba; Khor Fakkan; Rul Dadna. Seven wadis reach Fujairah city: Hayl, Saham, Farfar, Ham, Yabsah, Madhab, Safad"
bgd_gbm,Ganges-Brahmaputra delta,Bangladesh,BGD,88.0,21.5,92.7,26.0,"monsoon riverine flooding off three Himalayan rivers, with haor flash floods in the northeast",1,105000,https://en.wikipedia.org/wiki/Ganges_Delta,173600000,https://en.wikipedia.org/wiki/Ganges_Delta,,,"One of the lowest and most densely populated large landmasses on earth, sitting where three Himalayan rivers meet and downstream of Cherrapunji",https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/sunamganj-floods-have-surpassed-all-previous-records-3049551,Sunamganj Sadar; Tahirpur; Bishwambarpur; Chhatak; Doarabazar in the Sylhet haor basin. Sirajganj Sadar; Kazipur; Chauhali and the Jamuna char settlements
